license_plate,serviceOnDuty,id,observationDateTime,location.type,location.coordinates,emergencyVehicleType,location.longitudes,location.latitudes,coordinates_formatted
KA51G5226,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:01+00:00,Point,"[77.668716, 13.133616]",,77.668716,13.133616,"77.668716, 13.133616"
KA40G471,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:04+00:00,Point,"[77.609283, 12.941375]",,77.609283,12.941375,"77.609283, 12.941375"
KA51G5240,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:05+00:00,Point,"[77.711296, 12.801156]",AMBULANCE,77.711296,12.801156,"77.711296, 12.801156"
KA51G5028,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:05+00:00,Point,"[77.542618, 12.976893]",AMBULANCE,77.542618,12.976893,"77.542618, 12.976893"
KA51G5253,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:06+00:00,Point,"[77.400681, 12.965804]",AMBULANCE,77.400681,12.965804,"77.400681, 12.965804"
KA51G5228,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:06+00:00,Point,"[77.543671, 12.906374]",,77.543671,12.906374,"77.543671, 12.906374"
KA51G5039,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:08+00:00,Point,"[77.563095, 12.949019]",AMBULANCE,77.563095,12.949019,"77.563095, 12.949019"
KA51G5257,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:08+00:00,Point,"[77.631218, 12.921764]",AMBULANCE,77.631218,12.921764,"77.631218, 12.921764"
KA51G5221,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:09+00:00,Point,"[77.610405, 13.160276]",AMBULANCE,77.610405,13.160276,"77.610405, 13.160276"
KA51G5239,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:13+00:00,Point,"[77.53627, 12.982869]",,77.53627,12.982869,"77.53627, 12.982869"
